# THE FLEET. One row per class, smallest to largest. Tab separated, so a blurb can hold commas and
# apostrophes freely. Edit here (or in a spreadsheet, exported as TSV), then:
#     npm run import && npm run catalogue
#
# Lines starting with # are ignored, so notes and section breaks are fine.
#
# THE GAMEPLAY COLUMNS. These are what the fight and the shipyard read.
#
# active      yes if she is in the game. Anything else, blank included, lays her up: her row stays
#             here with her figures as they stood and she comes back the day the column says yes.
#             So the table is the fleet's whole history and the game is the part of it at sea, and a
#             class rebuilt keeps her old row beside her new one. That is why two rows may share an
#             id, as long as only one of them sails.
# id          a short camelCase name, unique among the ships that sail. Becomes the key everything
#             else refers to, so renaming one is retiring a ship and commissioning another.
# name        what a captain reads. No em dashes, no interpuncts. The fleet's own names are written
#             as the captain who drew up the table wrote them, capitals and all, which is why the
#             sentence-case rule that governs the rest of the game's copy stops at this column.
# price       coins to buy the bare hull. 0 for the ship she starts with.
# hull, crew  maximum health in the same points the bars already use. Hull is the reference's own
#             timber formula; crew is her battle complement, floored at 25 because a crew bar is a
#             health bar and a dozen points is four musket balls.
# speed       her own pace before a stitch of canvas, off her working speed under sail.
# hand        how she answers her rudder, before canvas. From the reference's handling components
#             less the rig and the crew: her sails carry the rig half themselves.
# canvas      how much sail she WANTS to get moving, as displacement to the two thirds. The most
#             important number here: it is why a half-rigged big ship is genuinely bad, and why the
#             same suit drives a cutter hard.
# tons        the weight of iron she can bear, in the same tons her guns are weighed in: a full
#             battery of the gun she was built around, both sides, plus her chasers and her rail.
#             It is a real limit rather than a penalty. The shipyard steps her battery down a grade
#             at a time until it fits under this, so a raft cannot mount thirty-six pounders, and
#             what she does carry costs her in handling in proportion to how close to it she is.
# broadside   guns A SIDE, mirrored, because that is how a volley fires: one gun bought is one gun
#             each side and two aboard.
# bow         chasers on her bow. A total rather than a side, because she has only the one bow.
# swivel      swivels on her rails, and a total as well. They fire in the volley with her muskets.
# masts       where she can step one, "station/size", space separated, bow aft.
#             stations: bowsprit fore main mizzen bonaventure
#             sizes:    boat small medium large heavy
#             The bowsprit takes a SPAR rather than a mast, which is what her headsails hang on.
# bowsprit    yes or no. Whether she carries the spar at all.
# blurb       one line a captain reads. May be left empty.
#
# A BLANK IN speed, hand, canvas OR tons IS NOT A DERIVATION. Each falls back to 1, which describes
# a quick, handy, easily driven ship that can carry nothing, and is right for no class above a boat.
# Fill them in. Every other gameplay column has to be filled as well.
#
# THE REFERENCE COLUMNS. Everything from `era` rightward is what the class WAS rather than what she
# does in a fight: no fight reads any of it, `npm run import` writes it to src/shipref.js, and
# `hullform.js` is the one reader. The fourteen marked (drawn) are how she is DRAWN, in the menu
# model and at sea. The rest are recorded for whoever comes to refine her form and are read by
# nothing yet, which is not the same as being free to invent: a wrong figure here is a wrong hull
# the day somebody does read it.
#
# Lengths are feet and weights are tons. bowFine, tumblehome, deadrise, sheer and castle are 1 to 5
# judgement scores, 1 for least and 5 for most.
#
# era         the years she was in service, written as a range. Text rather than a number.
# region      where she was built and sailed.
# role        what she was for.
# lod         (drawn) length on deck, feet. With beam, how big she is drawn in both views. Sizes are
#             compressed around the galleon, so twice the length is not twice the ship on screen.
# lbp         length between perpendiculars, feet. The measured length, shorter than on deck.
# beam        (drawn) extreme breadth, feet. Her drawn width, and with her length her collision
#             ellipse in a fight.
# draft       how deep she floats, feet.
# depth       depth of hold, feet: keelson to the deck above it.
# freeboard   (drawn) height of side above the water amidships, feet. The depth of side in the model.
# lb          length to beam, as a ratio. High is long and lean, low is short and beamy.
# bd          beam to depth, as a ratio. High is shallow and beamy, low is deep and narrow.
# burthen     builder's old measurement tons: what she was rated to carry.
# disp        displacement, tons: what she actually weighs afloat.
# bowFine     (drawn) how fine her entry is. 5 is a clipper's bow and 1 a carrack's. It narrows her
#             bow and pulls her shoulders aft.
# tumblehome  (drawn) how far her sides roll inward above the waterline. 5 is a fluyt.
# deadrise    how sharply her bottom rises from the keel. 1 is a flat floor.
# sheer       (drawn) how much her deck sweeps up towards bow and stern.
# castle      (drawn) how built up her ends are. 1 is an open boat, 2 raises a quarterdeck, 3 and up
#             add a forecastle. It is also what a windowed stern needs before it shows any lights.
# stern       (drawn) the shape of her stern, as one of the named types. Scow, Round, Pear,
#             Elliptical, Raking transom, Overhanging and Square each have geometry of their own,
#             and any other name draws a plain transom, which is what Transom and Gallery do. A name
#             holding "gallery" or "castle" lights her stern windows if her castle is 3 or more.
# mastHeight  (drawn) how tall her rig stands, as a multiple of the galleon's. Scales her masts in
#             both views.
# decks       how many of her decks carry guns: 1, 1-2, 2, 2-3 or 3. Text, because a range is not a
#             number. Recorded description now: `battery` says deck by deck where her guns actually
#             stood, and that is what her ports are drawn from.
# wale        the thickness of her main wale, inches: the heavy belt of timber along her side.
# topside     the thickness of her topside planking, inches.
# roomSpace   (drawn) room and space, feet: from one frame to the next. A gunport was framed on it,
#             running a little over one space wide, so this is the size of every port she shows.
# species     (drawn) what she was built of, which is also her colour: Oak, Live oak, Teak, Cedar or
#             Pine. Any other name is painted as oak.
# timber      (drawn) how dense that timber is, oak being 1. Denser timber reads a little darker.
# crewMin     the fewest hands she could be worked with, as against the battle complement in `crew`.
# cruise      her everyday speed, knots.
# topSpeed    the best she was ever driven, knots.
# manoeuvre   how handy she was, 0 to 100. The reference's own score, and what `hand` came out of.
# histGuns    (drawn) how many guns she really carried, of every sort. Half of them is exactly her
#             `broadside` bearing for every class in the fleet, which is how the ports and the guns
#             that fire out of them agree without the catalogue and the reference ever meeting.
#             `battery` says where those guns stood and has to add up to this.
# battery     (drawn) her establishment, deck by deck, as guns aboard rather than a side. Gun decks
#             first and lowest deck first, then what she carried on her upper works after a plus:
#             "10" is a cutter's ten on one open deck, "28+8/2" a frigate with a gun deck of 28 and
#             ten more on her quarterdeck and forecastle, "28/28/30+12/2" a first rate. The figures
#             sum to histGuns and every gun deck takes an even number, half of them a side.
#             A GUN DECK AND AN UPPER WORKS ARE NOT THE SAME FITTING, which is the whole reason this
#             column exists. A gun deck is a continuous battery pierced through her side, so its
#             ports run the length of her, under the castles the way a lower deck really did. Her
#             quarterdeck and forecastle guns stood in the open behind a bulwark, with no lidded
#             port to show, and drawn as such they are what leaves a two-decker's waist empty.
#             After the plus, two figures are the quarterdeck and the forecastle in that order, with
#             her waist bare between them. One figure is a battery that ran the whole length of her
#             upper works, which is what a spar-decked heavy frigate had. Write "2/0" rather than
#             "2" for a ship who carried hers aft only.
#             A BOAT IS NOT PIERCED AT ALL. A lidded port is cut through her topside under the deck
#             above it, and a hull with a castle score of 1 has neither, so her whole battery is
#             drawn standing at her rail however this column is written.
active	id	name	price	hull	crew	speed	hand	canvas	tons	broadside	bow	swivel	masts	bowsprit	blurb	era	region	role	lod	lbp	beam	draft	depth	freeboard	lb	bd	burthen	disp	bowFine	tumblehome	deadrise	sheer	castle	stern	mastHeight	decks	wale	topside	roomSpace	species	timber	crewMin	cruise	topSpeed	manoeuvre	histGuns	battery
yes	gundalow	Gundalow	0	100	30	0.55	0.65	0.18	2	1	1	1	main/small	no	A raft with a mast and one gun. She floats, she fires, and she is yours.	1770-1815	American lakes	Floating gun battery	40	37	13	3.5	4	2	3.08	3.25	15	20	2	1	1	1	1	Scow	0.7	1	2	1	2	Pine	1	12	2	4	40	2	2
yes	bermudaSloop	Bermuda Sloop light	900	137	30	0.97	1.22	0.28	6.6	3	1	1	bowsprit/small main/medium	yes	One raking mast and a deep heel aft. Nothing this small goes faster.	1700-1820	Caribbean	Fast dispatch and privateer	46	42	16	9.5	8	3	2.88	2.0	30	39	4	2	4	3	1	Transom	1.5	1	2.5	1.5	1.7	Cedar	1.0	10	8	12	87	6	6
yes	sloop	Sloop light	1400	149	40	0.91	1.24	0.34	8.1	4	1	1	bowsprit/small main/medium	yes	A single mast on a hull with some beam under it. She answers the helm sweetly.	1680-1820	Caribbean and Atlantic	Patrol, escort and privateer	50	46	18	9	8	3.5	2.78	2.25	40	52	3	2	3	3	1	Transom	1.4	1	2.5	1.5	1.7	Oak	1	12	7	11	88	8	8
yes	cutter	Cutter light	2300	167	45	0.94	1.26	0.4	9.7	5	1	1	bowsprit/small main/medium	yes	Broad, deep and stiff, with more sail than a boat her size has any right to.	1760-1830	Britain and the Channel	Revenue, dispatch and patrol	50	46	20	10	8	3.5	2.5	2.5	50	66	3	2	3	2	1	Transom	1.4	1	2.75	1.6	1.7	Oak	1.0	15	7.5	11.5	89	10	10
yes	baltimoreClipper	Baltimore Clipper	3200	255	60	1.09	1.16	0.72	16.8	6	1	1	bowsprit/small fore/medium main/medium	yes	Two raked masts on a hull cut like a knife. She outruns ships that outgun her.	1795-1850	Chesapeake	Privateer and blockade runner	80	73	22	10	8	4	3.64	2.75	120	158	5	2	4	3	1	Raking transom	1.3	1	3	1.75	1.7	Oak	1.0	20	9	14.5	86	12	12
yes	brigantine	Brigantine	4400	311	70	0.85	0.97	0.92	17.4	7	1	1	bowsprit/small fore/medium main/medium	yes	Square on the fore and fore and aft on the main. She will do most things well enough.	1690-1850	The Americas	Patrol, escort and privateer	82	75	23	11	10	4.5	3.57	2.3	170	228	3	3	3	3	2	Transom	1.1	1	3	1.75	1.8	Oak	1.0	25	6	10	68	14	14
yes	xebecLight	Xebec light	6200	277	180	0.97	1.07	0.8	20	9	1	1	bowsprit/small fore/medium main/medium	yes	Long, low and lateen rigged, with a crew that would rather board you than shoot.	1650-1830	Barbary coast	Corsair and coastal warship	85	78	20	8	8	4	4.25	2.5	140	186	5	1	4	3	2	Overhanging	1.2	1	3	1.75	1.75	Oak	1	60	8	12	82	18	18
yes	corvette	Corvette	9000	504	130	0.91	0.95	1.46	29.9	10	1	2	bowsprit/medium fore/large main/large mizzen/medium	yes	Three masts and one flush deck of guns. The smallest ship that looks like a warship.	1740-1860	Global	Patrol, escort, commerce war	105	96	28	13.5	12	5	3.75	2.33	330	455	4	3	3	3	2	Round	1.2	1	3.5	2	1.85	Oak	1.0	60	6.5	11	65	20	20
yes	sixthRate	6th rate	12500	647	155	0.88	0.89	1.81	45.4	12	2	2	bowsprit/medium fore/large main/large mizzen/medium	yes	Rated at last, and the smallest thing a post captain will admit to commanding.	1700-1820	Europe and Americas	Cruiser, escort and patrol	114	104	32	14	11	5.5	3.56	2.91	450	630	4	3	3	3	2	Round	1.2	1	3.75	2.25	1.9	Oak	1.0	90	6.5	10.5	62	24	22+2/0
yes	xebecHeavy	Xebec heavy	18000	568	320	0.94	0.99	1.6	44	16	2	3	bowsprit/medium fore/large main/large mizzen/medium	yes	The same corsair hull grown a third mast and a great many more men.	1650-1830	Barbary coast	Corsair and coastal warship	120	110	29	12	11	5	4.14	2.64	380	525	5	1	4	3	2	Overhanging	1.2	1	3.5	2	1.8	Oak	1	110	7	12	78	32	32
yes	fifthRate	5th rate	25000	1128	260	1	0.83	2.83	96.3	19	2	3	bowsprit/large fore/heavy main/heavy mizzen/large	yes	A whole deck of eighteens and the legs to choose her own fight.	1740-1840	Global	Cruiser and commerce war	146	133	39	16.5	13	6.5	3.74	3	860	1230	4	3	3	3	3	Gallery	1.2	2	4.25	2.5	1.9	Oak	1.0	170	8	13	59	38	28+8/2
yes	heavyFrigate	Heavy frigate	48000	1721	420	1.03	0.74	3.8	135	25	2	3	bowsprit/large fore/heavy main/heavy mizzen/large	yes	Live oak frames set close enough that round shot comes off her sides.	1794-1855	Global	Super cruiser and duellist	168	153	43	22	13.5	7	3.91	3.19	1350	1920	4	3	3	3	3	Gallery	1.3	2	5.25	3	1.9	Live oak	1	280	8	13.5	55	50	30+20
yes	fourthRate	4th rate	35000	1305	390	0.85	0.76	3.18	142	27	2	4	bowsprit/large fore/heavy main/heavy mizzen/large	yes	Two decks of guns on a hull too slow to run and too light for the line.	1650-1780	Global	Small liner and flag cruiser	150	137	42	20	17.5	7.5	3.57	2.4	980	1470	3	4	3	4	3	Gallery	1.1	2	5.5	3.25	1.95	Oak	1.0	240	6	10	52	54	24/22+6/2
yes	thirdRate	3rd rate	58000	1812	500	0.88	0.7	4.13	175	32	2	5	bowsprit/large fore/heavy main/heavy mizzen/large	yes	Sixty four guns, and the smallest ship anyone will put in the line of battle.	1750-1860	Global	Backbone of the line	165	150	45	22	19	8	3.67	2.37	1400	2170	3	4	3	4	3	Gallery	1.15	2	6.25	3.75	1.95	Oak	1.0	320	6	10.5	45	64	26/26+10/2
yes	secondRate	2nd rate	80000	2421	700	0.79	0.68	5.12	259.4	45	2	6	bowsprit/large fore/heavy main/heavy mizzen/large	yes	Three decks of iron. She is slow, she is enormous, and nothing wants her attention.	1690-1850	Global	Fleet flagship	180	164	50	26	21	11	3.6	2.38	1900	3000	2	5	3	4	4	Gallery	1.1	3	6.75	4.25	2.0	Oak	1.0	450	5	9	41	90	26/26/26+10/2
yes	firstRate	1st rate	100000	2699	800	0.79	0.62	5.68	297.7	50	2	6	bowsprit/large fore/heavy main/heavy mizzen/large	yes	A hundred guns and a flag at the main. There is nothing above her.	1650-1860	Britain, France, Spain	Fleet flagship	190	173	51	28.5	22	12	3.73	2.32	2150	3500	2	5	3	4	4	Gallery	1.1	3	7	4.5	2.0	Oak	1.0	520	5	9	38	100	28/28/30+12/2


No	launch	Armed launch	0	100	30	0.58	1.28	0.1	0.21	1	1	1	bowsprit/boat main/boat	yes		1650-1865	Global	Boarding and inshore harassment	32	30	8	2.5	3	1.5	4.0	3.2	6	8	3	1	2	2	1	Transom	0.9	1	1.5	1.0	1.2	Pine	0.85	6	2	5	92	1	
No	shallop	Armed shallop	130	117	25	0.64	1.28	0.18	0.47	1	1	1	bowsprit/boat fore/boat main/boat	yes		1600-1720	North Europe	Coastal and colonial patrol	34	32	10	3.5	4	2	3.4	2.9	15	20	3	1	2	2	1	Transom	0.8	1	2.0	1.25	1.4	Oak	1.0	4	3	6	92	2	
